date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:28	605/605	---M-Z	200	added ('OK')	text/plain	etag:%226aa-5f2b0b472700c-gzip%22	https://adrofx.com/robots.txt		(from )
12:15:28	48003/48003	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2022:10:31%20GMT	https://adrofx.com/social-investing	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/social-investing.html	(from )
12:15:29	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2017%20Feb%202023%2010:15:28%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/adrofx%20social-investing/www.googletagmanager.com/gtm.15445.delayed	(from https://adrofx.com/social-investing)
12:15:30	0/0	---M--	302	error ('Found')	text/html		http://dynamic.criteo.com/js/ld/ld.js?a=99035	C:/My%20Web%20Sites/adrofx%20social-investing/dynamic.criteo.com/js/ld/ld.2dae4.delayed	(from https://adrofx.com/social-investing)
12:15:31	43959/43959	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Feb%202023%2010:15:29%20GMT	https://dynamic.criteo.com/js/ld/ld.js?a=99035	C:/My%20Web%20Sites/adrofx%20social-investing/dynamic.criteo.com/js/ld/lddae4.js	(from https://adrofx.com/social-investing)
12:15:31	405/405	---M--	200	added ('OK')	image/png	etag:%22195-5b721be4bdd80%22	https://adrofx.com/sites/default/files/favicon.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/favicon.png	(from https://adrofx.com/social-investing)
12:15:31	6603/6603	---M-Z	200	added ('OK')	text/css	etag:%2219cb-5f2ebcc604efe-gzip%22	https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css	(from https://adrofx.com/social-investing)
12:15:31	2249/2249	---M-Z	200	added ('OK')	text/css	etag:%228c9-5f2ae4eda997f-gzip%22	https://adrofx.com/sites/default/files/css/css_hx9xkJ5VqN7lkqEi8ZXDsngv_YsEAGTXTOVn5suGOB4.css	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/css/css_hx9xkJ5VqN7lkqEi8ZXDsngv_YsEAGTXTOVn5suGOB4.css	(from https://adrofx.com/social-investing)
12:15:31	1395/1395	---M-Z	200	added ('OK')	text/css	etag:%22573-5f2ae4edaa91f-gzip%22	https://adrofx.com/sites/default/files/css/css_GpsSXmlsOWQM5PYYULEh0GgUxjvF3wP9ugzTIvXxIWE.css	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/css/css_GpsSXmlsOWQM5PYYULEh0GgUxjvF3wP9ugzTIvXxIWE.css	(from https://adrofx.com/social-investing)
12:15:31	3820/3820	---M-Z	200	added ('OK')	text/css	etag:%22eec-5f2ae4edab8bf-gzip%22	https://adrofx.com/sites/default/files/css/css_TfPF2BNFTHNupNbvl2_y0D5qxITedUGb_DRpodMu7-Q.css	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/css/css_TfPF2BNFTHNupNbvl2_y0D5qxITedUGb_DRpodMu7-Q.css	(from https://adrofx.com/social-investing)
12:15:32	466535/466535	---MCZ	200	added ('OK')	text/css	etag:%2271e67-5f341ced690ab-gzip%22	https://adrofx.com/sites/default/files/css/css_xwhHBbLqsJSh2Sn-gMQ9RdGLCyIAPgXIoZi7FQ4jhc0.css	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/css/css_xwhHBbLqsJSh2Sn-gMQ9RdGLCyIAPgXIoZi7FQ4jhc0.css	(from https://adrofx.com/social-investing)
12:15:32	55702/55702	---M-Z	200	added ('OK')	text/css	etag:%22d996-5f2ae4edae79f-gzip%22	https://adrofx.com/sites/default/files/css/css__ylGpb9Oo2XUdRxouW2cEjIBSA4u130Oy7-Tz1mV6p4.css	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/css/css__ylGpb9Oo2XUdRxouW2cEjIBSA4u130Oy7-Tz1mV6p4.css	(from https://adrofx.com/social-investing)
12:15:32	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/adrofx%20social-investing/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	(from https://adrofx.com/social-investing)
12:15:33	50069/50069	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Feb%202023%2009:52:56%20GMT	https://adrofx.com/Trident/	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/Trident/index.html	(from https://adrofx.com/social-investing)
12:15:33	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	C:/My%20Web%20Sites/adrofx%20social-investing/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	(from https://adrofx.com/social-investing)
